name,age,id,userPermission,password,ownedGames
Lehlogonolo,76,0,0,xj8K1pL7,45|7|38
John,25,1,1,gH4mN2qS,15|23
Alice,30,2,2,bV9rX6uP,49
Bob,22,3,1,wK5tJ3yM,34|5|47
Eve,28,4,0,lR7cF9qT,9|21
Charlie,27,5,1,kU2pB1vZ,27|18|44
David,24,6,2,tQ8dN4sJ,3|30|25
Fiona,29,7,1,fC3mX6jV,41
Nikhil,26,8,0,yS5kP7nL,22|8
Hannah,23,9,1,eJ9vQ2wT,4|39|14
Ian,31,10,2,rM1tB5xK,
Sam,22,11,1,hL4nD8qV,13|19
Rachel,28,12,2,uC6pR3jS,36|31
Mike,27,13,1,oX7vW1kT,6|2|48
Jessica,24,14,0,vT3rF8mQ,11|29|35
Tom,29,15,1,aN9yZ4wP,33|46
Amy,26,16,2,sL1xH5kR,40|1|12
Jack,23,17,1,zM7cQ2pV,17
Laura,31,18,2,qF5jB8nX,20|37|42
Peter,25,19,0,mK3tW6yL,24|26
Kate,30,20,2,iN9pJ1rT,28
Dan,22,21,1,gQ4xC7mV,10|43
Sarah,28,22,0,kF8vD3rX,32|50
James,27,23,1,hL1tJ9qM,14|5|9
Emily,24,24,2,jW3pF6xK,6|3
Mark,29,25,1,fQ7mD2rS,47
Lisa,26,26,2,pL9xT4kC,8|2|38
Paul,23,27,1,nV5jB3yM,21|7
Anna,31,28,2,tS1pR7vK,44|19|15
Steve,25,29,1,xM6cQ8jV,34
Mary,30,30,2,lN3yZ5wP,23|4
