id,name,age,userPermission,password,ownedGames
0,Lehlogonolo,76,0,xj8K1pL7,45|7|38
1,John,25,1,gH4mN2qS,15|23
2,Alice,30,2,bV9rX6uP,49
3,Bob,22,1,wK5tJ3yM,34|5|47
4,Eve,28,0,lR7cF9qT,9|21
5,Charlie,27,1,kU2pB1vZ,27|18|44
6,David,24,2,tQ8dN4sJ,3|30|25
7,Fiona,29,1,fC3mX6jV,41
8,Nikhil,22,0,yS5kP7nL,22|8|23|44
9,Hannah,23,1,eJ9vQ2wT,4|39|14
10,Ian,31,2,rM1tB5xK,
11,Sam,22,1,hL4nD8qV,13|19
12,Rachel,28,2,uC6pR3jS,36|31
13,Mike,27,1,oX7vW1kT,6|2|48
14,Jessica,24,0,vT3rF8mQ,11|29|35
15,Tom,29,1,aN9yZ4wP,33|46
16,Amy,26,2,sL1xH5kR,40|1|12
17,Jack,23,1,zM7cQ2pV,17
18,Laura,31,2,qF5jB8nX,20|37|42
19,Peter,25,0,mK3tW6yL,24|26
20,Kate,30,2,iN9pJ1rT,28
21,Dan,22,1,gQ4xC7mV,10|43
22,Sarah,28,0,kF8vD3rX,32|20
23,James,27,1,hL1tJ9qM,14|5|9
24,Emily,24,2,jW3pF6xK,6|3
25,Mark,29,1,fQ7mD2rS,47
26,Lisa,26,2,pL9xT4kC,8|2|38
27,Paul,23,1,nV5jB3yM,21|7
28,Anna,31,2,tS1pR7vK,44|19|15
29,Steve,25,1,xM6cQ8jV,34
30,Mary,30,2,lN3yZ5wP,23|0
31,feefee,20,0,jncsdjkkncid,
